EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER,,,
5634222,PASCO CO.,TRILBY,01/01/1998,0,Flood, , ,0,0,500000,0,FL,EST, ,2073670,C,101,TBW,0,0, , , , , , , , ,TRILBY, , , , ,1,,,
5634220,HILLSBOROUGH CO.,TAMPA,01/01/1998,0,Flood, , ,0,0,100000,0,FL,EST, ,2073668,C,57,TBW,0,0, , , , ,21,NE,21,NE,TAMPA, , , , ,2,,,
5634219,SARASOTA CO.,SARASOTA,01/01/1998,0,Flood, , ,0,0,0,0,FL,EST, ,2073667,C,115,TBW,0,0, , , , ,25,SE,25,SE,SARASOTA, , , , ,3,,,
5634218,HILLSBOROUGH CO.,TAMPA,01/01/1998,0,Flood, , ,0,0,0,0,FL,EST, ,2073666,C,57,TBW,0,0, , , , ,13,NE,13,NE,TAMPA, , , , ,4,,,
5634159,DE SOTO CO.,ARCADIA,01/01/1998,0,Flood, , ,0,0,4000,0,FL,EST, ,2073665,C,27,TBW,0,0, , , , ,1,W,1,W,ARCADIA, , , , ,5,,,
5634221,PASCO CO.,ZEPHYRHILLS,01/01/1998,0,Flood, , ,0,0,10000,0,FL,EST, ,2073669,C,101,TBW,0,0, , , , ,18,W,18,W,ZEPHYRHILLS, , , , ,6,,,
5634223,HERNANDO CO.,BROOKSVILLE,01/01/1998,0,Flood, , ,0,0,100000,0,FL,EST, ,2073671,C,53,TBW,0,0, , , , ,11,E,11,E,BROOKSVILLE, , , , ,7,,,
5634224,CITRUS CO.,HOLDER,01/02/1998,800,Flood, , ,0,0,2000000,0,FL,EST, ,2073672,C,17,TBW,0,0, , , , ,5,ENE,5,ENE,HOLDER, , , , ,8,,,
5678002,PASCO CO.,HUDSON,01/02/1998,2100,Storm Surge/Tide, , ,0,0,1800000,0,FL,EST, ,2151759,C,101,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,NEW PORT RICHEY, , , , ,9,,,
5677999,HERNANDO CO.,PINE IS,01/02/1998,2100,Storm Surge/Tide, , ,0,0,25000,0,FL,EST, ,2151759,C,53,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,BAYPORT, , , , ,10,,,
5678000,HILLSBOROUGH CO.,APOLLO BEACH,01/02/1998,2200,Storm Surge/Tide, , ,0,0,0,0,FL,EST, ,2151759,C,57,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,TAMPA, , , , ,11,,,
5678001,MANATEE CO.,ANNA MARIA,01/02/1998,2200,Storm Surge/Tide, , ,0,0,200000,0,FL,EST, ,2151759,C,81,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,LONGBEACH, , , , ,12,,,
5678003,PINELLAS CO.,ANCLOTE,01/02/1998,2200,Storm Surge/Tide, , ,0,0,200000,0,FL,EST, ,2151759,C,103,TBW,0,0,EMERGENCY MANAGER, , , , , , , ,ST PETERSBURG BEACH, , , , ,13,,,
5634225,HERNANDO CO.,SPRING HILL,01/06/1998,1900,Flood, , ,0,0,10000,0,FL,EST, ,2073673,C,53,TBW,0,0, , , , , , , , ,BROOKSVILLE, , , , ,14,,,
5628376,ESCAMBIA CO.,PENSACOLA,01/07/1998,900,Thunderstorm Wind,50, ,0,0,3000,0,FL,CST, ,2072106,C,33,MOB,0,0, , , , , , , , ,PENSACOLA,30.42,-87.22,30.42,-87.22,15,,,
5628377,SANTA ROSA CO.,CHUMUCKLA,01/07/1998,900,Thunderstorm Wind,60, ,0,0,7000,0,FL,CST, ,2072107,C,113,MOB,0,0, , , , , , , , ,CHUMUCKLA,30.77,-87.23,30.77,-87.23,16,,,
5628491,SANTA ROSA CO.,NAVARRE,01/07/1998,1000,Thunderstorm Wind,50, ,0,0,3500,0,FL,CST, ,2072117,C,113,MOB,0,0, , , , , , , , ,NAVARRE,30.4,-86.87,30.4,-86.87,17,,,
5628378,OKALOOSA CO.,DESTIN,01/07/1998,1015,Tornado,0,F0,0,1,7000,0,FL,CST, ,2072108,C,91,MOB,0,0, , ,0.1,25, , , , ,DESTIN,30.38,-86.52,30.38,-86.52,18,,,
